DOID:10376	MESH:D000550
DOID:10383	MESH:D020968
DOID:1039	MESH:D015463
DOID:10393	MESH:D010005
DOID:10398	MESH:D010930
DOID:1040	MESH:D015451
DOID:10426	MESH:D007714
DOID:10456	MESH:D014069
DOID:10457	MESH:D007877
DOID:10458	MESH:D007876
DOID:10459	MESH:D003139
DOID:10460	MESH:D009304
DOID:10480	MESH:D003965
DOID:10485	MESH:D004933
DOID:10486	MESH:D007409
DOID:10487	MESH:D006627
DOID:10488	MESH:D001006
DOID:10534	MESH:D013274
DOID:10540	MESH:C535648
DOID:10554	MESH:D008590
DOID:1056	MESH:D009800
DOID:10575	MESH:D002128
DOID:10581	MESH:D007966
DOID:10582	MESH:D012035
DOID:10584	MESH:C538365
DOID:10584	MESH:D012174
DOID:10587	MESH:D007965
DOID:10588	MESH:D000326
DOID:10588	MESH:D002549
DOID:10591	MESH:D011225
DOID:10595	MESH:D002607
DOID:106	MESH:D014396
DOID:1060	MESH:D006250
DOID:10600	MESH:D013981
DOID:10602	MESH:D045602
DOID:10603	MESH:D018149
DOID:10604	MESH:D007787
DOID:10605	MESH:D012778
DOID:10606	MESH:D001765
DOID:10607	MESH:D013182
DOID:10608	MESH:D002446
DOID:10609	MESH:D012279
DOID:10611	MESH:D011504
DOID:1062	MESH:D005198
DOID:10629	MESH:D008850
DOID:1063	MESH:D009395
DOID:10632	MESH:D014929
DOID:1064	MESH:D003554
DOID:10646	MESH:D012569
DOID:10652	MESH:D000544
DOID:1067	MESH:D005902
DOID:10686	MESH:C535998
DOID:10690	MESH:D008413
DOID:10699	MESH:D010237
DOID:1070	MESH:C562750
DOID:1073	MESH:D006977
DOID:10754	MESH:D010033
DOID:10755	MESH:D059270
DOID:10762	MESH:D006975
DOID:10772	MESH:D011697
DOID:10773	MESH:D010930
DOID:10780	MESH:C536842
DOID:10782	MESH:D008640
DOID:10783	MESH:D008708
DOID:10787	MESH:D008594
DOID:1079	MESH:D012719
DOID:10791	MESH:D015522
DOID:10794	MESH:D015524
DOID:1080	MESH:D005368
DOID:10808	MESH:D013276
DOID:1081	MESH:D008368
DOID:10817	MESH:D012448
DOID:1082	MESH:D004184
DOID:10824	MESH:D006974
DOID:10825	MESH:C562386
DOID:10834	MESH:D014843
DOID:10841	MESH:D020242
DOID:10843	MESH:D020241
DOID:10844	MESH:D004672
DOID:10845	MESH:D004674
DOID:10849	MESH:D008398
DOID:1085	MESH:C580500
DOID:10864	MESH:D015840
DOID:10865	MESH:D020434
DOID:10866	MESH:D015840
DOID:10871	MESH:D008268
DOID:1088	MESH:D008588
DOID:10881	MESH:D006232
DOID:10882	MESH:D011000
DOID:10883	MESH:D006557
DOID:10887	MESH:D015440
DOID:1089	MESH:D016135
DOID:10892	MESH:D007021
DOID:10907	MESH:D008831
DOID:10908	MESH:D006849
DOID:1091	MESH:D014076
DOID:10914	MESH:D000647
DOID:10915	MESH:D020915
DOID:10923	MESH:D000755
DOID:10923	MESH:D006450
DOID:10930	MESH:D001883
DOID:10931	MESH:D003859
DOID:10932	MESH:D003193
DOID:10933	MESH:D009771
DOID:10934	MESH:D009105
DOID:10935	MESH:D004213
DOID:10936	MESH:D012557
DOID:10937	MESH:D007174
DOID:10938	MESH:D010260
DOID:10939	MESH:D000987
DOID:1094	MESH:D001289
DOID:10941	MESH:D002532
DOID:10944	MESH:D014060
DOID:10952	MESH:D009393
DOID:10955	MESH:D013322
DOID:10964	MESH:D018424
DOID:10965	MESH:D002547
DOID:10966	MESH:D009402
DOID:10968	MESH:D002547
DOID:10970	MESH:D002547
DOID:10974	MESH:D009869
DOID:10976	MESH:D015433
DOID:1098	MESH:D004899
DOID:10983	MESH:D009394
DOID:10986	MESH:D015299
DOID:1099	MESH:D017085
DOID:10991	MESH:D020144
DOID:110	MESH:D007905
DOID:1100	MESH:D010049
DOID:11014	MESH:C537771
DOID:11029	MESH:D059407
DOID:11030	MESH:D015715
DOID:11037	MESH:D000647
DOID:11038	MESH:D003861
DOID:11042	MESH:D005258
DOID:11044	MESH:D020139
DOID:11049	MESH:D008471
DOID:11054	MESH:D001749
DOID:11055	MESH:D010326
DOID:11060	MESH:D010923
DOID:11077	MESH:D002006
DOID:11080	MESH:D009198
DOID:11088	MESH:D001238
DOID:11100	MESH:D011778
DOID:11101	MESH:D014205
DOID:11102	MESH:D001474
DOID:11103	MESH:D012288
DOID:11105	MESH:C562733
DOID:11111	MESH:D006869
DOID:11119	MESH:D005879
DOID:11121	MESH:D011671
DOID:11123	MESH:D011695
DOID:11151	MESH:D041761
DOID:11153	MESH:D008883
DOID:11155	MESH:D007007
DOID:11156	MESH:D007007
DOID:1116	MESH:D001885
DOID:1116	MESH:D014917
DOID:11164	MESH:C562399
DOID:11168	MESH:D003218
DOID:11175	MESH:D015841
DOID:11193	MESH:D013576
DOID:11198	MESH:D004062
DOID:11199	MESH:D007011
DOID:11201	MESH:D010279
DOID:11202	MESH:D049950
DOID:11204	MESH:D003233
DOID:11212	MESH:D006871
DOID:11227	MESH:D003232
DOID:1123	MESH:D025242
DOID:11234	MESH:D054517
DOID:11239	MESH:D001063
DOID:11240	MESH:D001063
DOID:11244	MESH:D000751
DOID:11249	MESH:D014813
DOID:11252	MESH:C562385
DOID:11254	MESH:D014438
DOID:11256	MESH:D014437
DOID:11256	MESH:D014438
DOID:11257	MESH:D010698
DOID:11258	MESH:D002372
DOID:11260	MESH:D011818
DOID:11262	MESH:D009956
DOID:11265	MESH:D014141
DOID:11266	MESH:D006480
DOID:11267	MESH:C536156
DOID:11285	MESH:D013985
DOID:1129	MESH:D010899
DOID:11320	MESH:D007733
DOID:11328	MESH:D011618
DOID:11329	MESH:D000387
DOID:11330	MESH:D004886
DOID:11335	MESH:D012507
DOID:11336	MESH:D012226
DOID:11337	MESH:D005674
DOID:11338	MESH:D013742
DOID:11339	MESH:D011020
DOID:1134	MESH:D005889
DOID:11342	MESH:D001112
DOID:11343	MESH:D015422
DOID:11353	MESH:C562406
DOID:11355	MESH:D001744
DOID:11360	MESH:D010217
DOID:11364	MESH:D007906
