GO_0033849	R08948
GO_0033851	R08950
GO_0033188	R08969
GO_0036434	R00025
GO_0035529	R00103
GO_0042736	R00105
GO_0034604	R00209
GO_0036440	R00351
GO_0036219	R00426
GO_0036374	R00494
GO_0036430	R00512
GO_0036424	R00582
GO_0036221	R00662
GO_0036220	R00720
GO_0036439	R00844
GO_0043768	R01291
GO_0034736	R01461
GO_0036431	R01665
GO_0036217	R01855
GO_0042282	R02081
GO_0036130	R02264
GO_0042286	R02272
GO_0036222	R02720
GO_0036131	R02799
GO_0036425	R02853
GO_0036441	R03155
GO_0042410	R03209
GO_0035870	R03531
GO_0043115	R03947
GO_0043825	R04217
GO_0036132	R04556
GO_0047522	R04556
GO_0036132	R04557
GO_0047522	R04557
GO_0043755	R04594
GO_0043824	R05049
GO_0036133	R05060
GO_0035299	R05202
GO_0043818	R05217
GO_0043784	R05218
GO_0043819	R05219
GO_0036429	R05221
GO_0043802	R05224
GO_0043756	R05226
GO_0043721	R05337
GO_0034899	R05623
GO_0036433	R05626
GO_0042602	R05707
GO_0035005	R05795
GO_0036189	R06351
GO_0036204	R06354
GO_0036188	R06357
GO_0036428	R06558
GO_0036163	R06866
GO_0034795	R06945
GO_0036403	R07053
GO_0043831	R07177
GO_0043732	R07221
GO_0043857	R07245
GO_0036426	R07257
GO_0036443	R07288
GO_0050659	R07288
GO_0043740	R07306
GO_0043722	R07312
GO_0043716	R07394
GO_0036190	R07403
GO_0036191	R07421
GO_0036192	R07422
GO_0036193	R07423
GO_0043817	R07476
GO_0043785	R07796
GO_0043792	R07984
GO_0043718	R07985
GO_0034602	R08549
GO_0036380	R08856
GO_0034278	R09115
GO_0034283	R09116
GO_0034279	R09117
GO_0034277	R09119
GO_0034280	R09120
GO_0034282	R09121
GO_0036423	R09245
GO_0035527	R09289
GO_0036397	R09494
GO_0034417	R09532
GO_0036238	R09565
GO_0035595	R09651
GO_0036382	R09662
GO_0036348	R09704
GO_0036383	R09819
GO_0036199	R09859
GO_0036200	R09860
GO_0036201	R09861
GO_0036209	R09865
GO_0036202	R09866
GO_0036203	R09867
GO_0036239	R09868
GO_0036381	R10089
GO_0047351	R00012
GO_0047999	R00023
GO_0047695	R00027
GO_0047989	R00048
GO_0047201	R00049
GO_0047064	R00060
GO_0047065	R00061
GO_0047278	R00062
GO_0047158	R00063
GO_0047950	R00120
GO_0047453	R00129
GO_0047899	R00134
GO_0047666	R00141
GO_0045134	R00155
GO_0047626	R00175
GO_0047625	R00180
GO_0047710	R00187
GO_0047112	R00207
GO_0047766	R00213
GO_0046553	R00215
GO_0047777	R00237
GO_0047944	R00241
GO_0047821	R00279
GO_0047809	R00297
GO_0047400	R00318
GO_0047601	R00320
GO_0047776	R00325
GO_0047593	R00327
GO_0047917	R00337
GO_0047808	R00340
GO_0046554	R00343
GO_0047303	R00373
GO_0047612	R00394
GO_0047636	R00398
GO_0046421	R00409
GO_0047004	R00421
GO_0047091	R00448
GO_0047827	R00452
GO_0045484	R00457
GO_0047969	R00466
GO_0047968	R00468
GO_0047562	R00478
GO_0047478	R00482
GO_0047427	R00486
GO_0047689	R00491
GO_0047357	R00504
GO_0047900	R00518
GO_0047901	R00521
GO_0046564	R00522
GO_0047627	R00531
GO_0047966	R00534
GO_0047951	R00547
GO_0047678	R00559
GO_0047805	R00574
GO_0047945	R00576
GO_0047332	R00584
GO_0047687	R00646
GO_0047126	R00666
GO_0047462	R00686
GO_0047312	R00692
GO_0047319	R00695
GO_0047130	R00716
GO_0047970	R00775
GO_0047660	R00777
GO_0047991	R00793
GO_0047549	R00828
GO_0047641	R00834
GO_0047014	R00845
GO_0047327	R00850
GO_0047221	R00853
GO_0047279	R00854
GO_0047734	R00855
GO_0047348	R00856
GO_0047904	R00873
GO_0047061	R00874
GO_0047919	R00880
GO_0047697	R00906
GO_0047972	R00913
GO_0043957	R00919
GO_0047344	R00954
GO_0047343	R00956
GO_0047857	R00975
GO_0047671	R00979
GO_0047528	R00983
GO_0047673	R00989
GO_0047324	R01012
GO_0047754	R01027
GO_0047753	R01028
GO_0047953	R01039
GO_0047954	R01043
GO_0047331	R01044
GO_0047955	R01045
GO_0047345	R01052
GO_0045437	R01080
GO_0045174	R01108
GO_0047723	R01128
GO_0047583	R01144
GO_0047811	R01149
GO_0047609	R01156
GO_0047981	R01160
GO_0047727	R01181
GO_0047395	R01193
GO_0045127	R01201
GO_0047932	R01204
GO_0047867	R01211
GO_0047406	R01266
GO_0047558	R01267
GO_0047280	R01271
GO_0047104	R01277
GO_0047250	R01304
GO_0047073	R01305
GO_0047576	R01307
GO_0047190	R01319
GO_0047779	R01322
GO_0047780	R01325
GO_0047772	R01336
