10152	211793_s_at
10153	203341_at
10154	206470_at
10154	206471_s_at
10154	213241_at
10155	200990_at
10156	208534_s_at
10156	212706_at
10156	212707_s_at
10157	210852_s_at
10157	214829_at
10158	219630_at
10159	201443_s_at
10159	201444_s_at
1016	206280_at
10160	201910_at
10160	201911_s_at
10161	218589_at
10162	202793_at
10163	221725_at
10164	220446_s_at
10165	203775_at
10166	218653_at
10168	205855_at
10169	210183_x_at
10169	217756_x_at
1017	204252_at
1017	211804_s_at
10170	219799_s_at
10171	218544_s_at
10174	207788_s_at
10174	209253_at
10175	201653_at
10178	205728_at
10179	218379_at
1018	207188_at
10180	201967_at
10181	201394_s_at
10181	201395_at
10184	212658_at
10186	218656_s_at
10188	203838_s_at
10188	203839_s_at
1019	202246_s_at
10190	203008_x_at
10190	211758_x_at
10193	201961_s_at
10193	201962_s_at
10195	207396_s_at
10196	213320_at
10197	200987_x_at
10197	200988_s_at
10197	209852_x_at
10197	209853_s_at
10198	206205_at
10198	215731_s_at
10198	221965_at
10199	212885_at
1020	204247_s_at
10200	203740_at
10201	205851_at
10202	206463_s_at
10202	214079_at
10203	206331_at
10203	210815_s_at
10204	202397_at
10205	203779_s_at
10205	203780_at
10206	203659_s_at
10207	214493_s_at
10208	204190_at
10209	202021_x_at
10209	211956_s_at
10209	212130_x_at
10209	212227_x_at
1021	207143_at
10210	204071_s_at
10211	208748_s_at
10211	208749_x_at
10211	210142_x_at
10212	201584_s_at
10213	212296_at
10214	207493_x_at
10214	207666_x_at
10214	210497_x_at
10214	211670_x_at
10214	211731_x_at
10214	215881_x_at
10214	216471_x_at
10215	213824_at
10215	213825_at
10216	206007_at
10217	201904_s_at
10217	201905_s_at
10217	201906_s_at
10218	206423_at
10219	210288_at
1022	211297_s_at
10220	216860_s_at
10221	202241_at
10223	205929_at
10224	205928_at
10225	206761_at
10226	202122_s_at
10227	209215_at
10228	212799_at
10228	212800_at
10228	214441_at
10229	209745_at
10229	209746_s_at
10229	210820_x_at
10231	203498_at
10232	204885_s_at
10233	206076_at
10234	205381_at
10235	208206_s_at
10235	214368_at
10235	214369_s_at
10236	208765_s_at
10236	208766_s_at
10237	202433_at
10238	209592_s_at
10238	221744_at
10238	221745_at
10239	202398_at
10239	202399_s_at
10239	213215_at
1024	204831_at
10240	212603_at
10240	212604_at
10241	210817_s_at
10242	221097_s_at
10243	220773_s_at
10244	203150_at
10245	203342_at
10246	207097_s_at
10247	203790_s_at
10248	209482_at
10249	206930_at
10249	222083_at
1025	203198_at
10250	201224_s_at
10250	201225_s_at
10252	212558_at
10253	204011_at
10254	208194_s_at
10254	209649_at
10254	215044_s_at
10256	204740_at
10257	203196_at
1026	202284_s_at
10260	214787_at
10261	206420_at
10262	209044_x_at
10263	203252_at
10265	210239_at
10266	205779_at
10267	204916_at
10268	205326_at
10269	202939_at
1027	209112_at
10270	203847_s_at
10270	203848_at
10272	203592_s_at
10273	217934_x_at
10274	202293_at
10274	202294_at
10276	201829_at
10276	201830_s_at
10277	202316_x_at
10277	202317_s_at
10277	210685_s_at
10277	215533_s_at
10278	204400_at
10278	210880_s_at
10279	208165_s_at
1028	213182_x_at
1028	213348_at
1028	216894_x_at
1028	219534_x_at
10280	201692_at
10280	214484_s_at
10281	207258_at
10282	202710_at
10284	208740_at
10284	208741_at
10284	208742_s_at
10285	200071_at
10286	203053_at
10287	204336_s_at
10288	207697_x_at
10288	210146_x_at
10289	201738_at
1029	207039_at
1029	209644_x_at
1029	211156_at
10291	201356_at
10291	201357_s_at
10291	216457_s_at
10293	205598_at
10294	209157_at
10295	202030_at
10296	207922_s_at
10297	205320_at
10297	217174_s_at
10298	203154_s_at
10298	33814_at
10299	201736_s_at
10299	201737_s_at
103	201786_s_at
1030	207530_s_at
10300	203162_s_at
10300	203163_at
10302	213203_at
10302	214592_s_at
10307	204650_s_at
10308	219540_at
10309	210021_s_at
1031	204159_at
1031	211792_s_at
10311	203635_at
10311	217309_s_at
10312	204158_s_at
10313	219549_s_at
10314	202019_s_at
10314	202020_s_at
10316	221383_at
10317	206947_at
10318	207196_s_at
10319	219407_s_at
1032	210240_s_at
10320	205039_s_at
10320	216901_s_at
10321	207802_at
10322	209516_at
10324	219106_s_at
10325	205540_s_at
10326	206934_at
10326	217240_at
10327	201900_s_at
10328	218057_x_at
10329	204807_at
10329	204808_s_at
1033	209714_s_at
10330	202857_at
10330	209796_s_at
10331	204856_at
10332	207995_s_at
10332	210481_s_at
10333	207446_at
10336	204564_at
10336	212753_at
10342	217839_at
10343	220548_at
10346	213293_s_at
10347	219577_s_at
10351	204719_at
10352	218766_s_at
1036	204154_at
10360	205129_at
10362	209113_s_at
10362	210719_s_at
10363	218152_at
10365	219371_s_at
10367	216903_s_at
10368	206384_at
10369	214495_at
10370	207980_s_at
10370	209357_at
10371	206805_at
10376	201090_x_at
10376	211058_x_at
10376	211072_x_at
10376	212639_x_at
10376	213646_x_at
10379	203882_at
1038	207276_at
10381	202154_x_at
10381	213476_x_at
10382	212664_at
10382	213476_x_at
10383	208977_x_at
10383	213726_x_at
10384	204820_s_at
10384	204821_at
10384	38241_at
10385	205298_s_at
10385	205299_s_at
10388	206546_at
10389	206147_x_at
1039	209501_at
10390	219375_at
